state,governor_party
AK,REPUBLICAN
AL,REPUBLICAN
AR,REPUBLICAN
AZ,REPUBLICAN
CA,DEMOCRAT
CO,DEMOCRAT
CT,DEMOCRAT
DC,DEMOCRAT
DE,DEMOCRAT
FL,REPUBLICAN
GA,REPUBLICAN
HI,DEMOCRAT
IA,REPUBLICAN
ID,REPUBLICAN
IL,DEMOCRAT
IN,REPUBLICAN
KS,DEMOCRAT
KY,DEMOCRAT
LA,DEMOCRAT
MA,REPUBLICAN
MD,REPUBLICAN
ME,DEMOCRAT
MI,DEMOCRAT
MN,DEMOCRAT
MO,REPUBLICAN
MS,REPUBLICAN
MT,DEMOCRAT
NC,DEMOCRAT
ND,REPUBLICAN
NE,REPUBLICAN
NH,REPUBLICAN
NJ,DEMOCRAT
NM,DEMOCRAT
NV,DEMOCRAT
NY,DEMOCRAT
OH,REPUBLICAN
OK,REPUBLICAN
OR,DEMOCRAT
PA,DEMOCRAT
RI,DEMOCRAT
SC,REPUBLICAN
SD,REPUBLICAN
TN,REPUBLICAN
TX,REPUBLICAN
UT,REPUBLICAN
VA,DEMOCRAT
VT,REPUBLICAN
WA,DEMOCRAT
WI,DEMOCRAT
WV,REPUBLICAN
WY,REPUBLICAN